"","cand_a_female","picked_cand_a","region","gender","age","college","race","pid","ideo","considerwoman","considerwoman_n","horserace","demnom","favdnc","favmetoo","favblm","favaoc","unfavfb","unfavwallst","longprim","funding","candstrong","candwarm","candhumble","candassert","candcomp","perormot","suppclean","billionbad","sdo","believe","moderate","liberal","progressive","socialist","womenoffend","followmost","urbanicity"
"41",TRUE,TRUE,"South",1,35,0,"Hispanic","Democrat","Liberal/Very Liberal",FALSE,0,"Bernie",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,1,1,0,"Motivate base",FALSE,FALSE,2.5,"Presumption of innocence",0,1,1,1,FALSE,FALSE,"Suburb"
"42",TRUE,FALSE,"South",1,71,0,"Black","Democrat","Liberal/Very Liberal",TRUE,1,"Biden",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,0,0,0,"Motivate base",TRUE,FALSE,4.25,"Presumption of innocence",0,1,0,0,TRUE,TRUE,"City"
"43",FALSE,FALSE,"West",0,48,0,"White","Independent","Liberal/Very Liberal",TRUE,2,"Bernie",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Don't know","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,0,"Motivate base",TRUE,TRUE,1.5,"Not sure",0,1,1,0,FALSE,TRUE,"City"
"44",FALSE,FALSE,"West",0,68,1,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Warren",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,0,"Motivate base",TRUE,TRUE,4,"Believe",1,1,1,1,FALSE,TRUE,"Rural or other"
"45",TRUE,TRUE,"South",0,55,0,"Black","Independent","Moderate",TRUE,1,"Warren",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",0,0,0,0,0,"Don't know",FALSE,FALSE,5.5,"Believe",1,0,0,0,TRUE,TRUE,"City"
"46",TRUE,TRUE,"Midwest",0,20,0,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Other",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,0,0,"Motivate base",TRUE,TRUE,4,"Believe",0,0,1,0,FALSE,FALSE,"Suburb"
"47",FALSE,TRUE,"South",0,34,0,"Black","Democrat","Liberal/Very Liberal",TRUE,4,"Bernie",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,1,1,"Persuade Trump voters",TRUE,TRUE,1.5,"Believe",1,0,0,0,FALSE,TRUE,"Rural or other"
"48",FALSE,FALSE,"West",1,55,1,"White","Democrat","Liberal/Very Liberal",TRUE,4,"Biden",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",0,1,1,0,0,"Motivate base",TRUE,TRUE,5,"Believe",0,1,1,0,FALSE,TRUE,"Rural or other"
"49",FALSE,TRUE,"Midwest",0,45,0,"White","Independent","Liberal/Very Liberal",TRUE,1,"Bernie",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",0,0,0,1,0,"Motivate base",TRUE,FALSE,1.5,"Believe",0,0,1,0,FALSE,TRUE,"City"
"50",TRUE,FALSE,"Midwest",1,36,0,"White","Independent","Liberal/Very Liberal",TRUE,1,"Bernie",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","Don't know",1,0,0,1,0,"Motivate base",TRUE,TRUE,1,"Presumption of innocence",0,1,1,1,FALSE,TRUE,"Suburb"
"51",FALSE,TRUE,"South",0,30,1,"Black","Democrat","Moderate",FALSE,0,"Other",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",0,0,0,0,1,"Don't know",TRUE,TRUE,1.75,"Not sure",1,0,0,0,FALSE,FALSE,"City"
"52",TRUE,TRUE,"West",1,60,0,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Harris",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","Don't know",1,1,1,1,0,"Motivate base",TRUE,FALSE,1.75,"Believe",0,1,1,0,TRUE,TRUE,"City"
"53",FALSE,TRUE,"Midwest",1,36,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Other",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,1,1,"Motivate base",TRUE,TRUE,2,"Believe",0,1,1,0,FALSE,TRUE,"City"
"54",FALSE,FALSE,"West",0,63,1,"White","Independent","Moderate",TRUE,3,"Warren",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,1,1,1,"Persuade Trump voters",TRUE,FALSE,1.25,"Believe",0,0,0,0,FALSE,TRUE,"City"
"55",TRUE,TRUE,"Midwest",1,83,0,"White","Democrat","Liberal/Very Liberal",FALSE,0,"Biden",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,1,1,1,"Motivate base",TRUE,TRUE,4.25,"Believe",0,1,1,1,FALSE,TRUE,"Suburb"
"56",FALSE,TRUE,"Northeast",1,38,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Warren",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",0,0,1,1,0,"Motivate base",TRUE,TRUE,4.25,"Believe",0,1,1,1,TRUE,TRUE,"Suburb"
"57",FALSE,TRUE,"South",1,35,1,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Warren",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,0,1,0,"Persuade Trump voters",FALSE,FALSE,5.25,"Presumption of innocence",0,1,0,0,FALSE,FALSE,"City"
"58",TRUE,FALSE,"Midwest",0,29,1,"White","Democrat","Liberal/Very Liberal",FALSE,0,"Biden",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Don't know","Don't know",1,0,1,1,0,"Persuade Trump voters",TRUE,TRUE,3.25,"Believe",0,1,0,0,FALSE,FALSE,"Suburb"
"59",TRUE,FALSE,"Northeast",1,65,1,"Black","Independent","Moderate",TRUE,1,"Warren",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,0,"Motivate base",TRUE,TRUE,4,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"Rural or other"
"60",TRUE,FALSE,"Midwest",0,59,1,"White","Independent","Moderate",TRUE,3,"Warren",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,0,1,0,"Motivate base",TRUE,TRUE,1.75,"Believe",0,0,1,0,FALSE,TRUE,"Suburb"
"61",FALSE,FALSE,"South",0,55,0,"White","Independent","Moderate",TRUE,2,"Bernie",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,1,0,1,"Persuade Trump voters",TRUE,TRUE,2.75,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"Rural or other"
"62",FALSE,TRUE,"South",0,39,1,"Black","Independent","Moderate",TRUE,1,"Other",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",0,0,0,1,0,"Don't know",TRUE,FALSE,3.75,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"Rural or other"
"63",FALSE,FALSE,"South",1,39,1,"Hispanic","Independent","Liberal/Very Liberal",TRUE,2,"Harris",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","Don't know",1,0,1,1,0,"Motivate base",TRUE,TRUE,3.5,"Not sure",0,1,1,0,FALSE,TRUE,"Suburb"
